湖南频道,#genre#
先锋乒羽,http://39.134.242.92:80/180000001002/00000000000000020000000000182319/main.m3u8#http://183.215.102.57:8089/180000001001/00000000000000020000000000182319/main.m3u8

数字频道,#genre#
CHC家庭影院,http://39.134.242.92:80/180000001002/00000001000000000050000000448840/main.m3u8
CHC高清电影,http://39.134.242.92:80/180000001002/00000001000000000050000000448841/main.m3u8
CHC动作电影,http://39.134.242.92:80/180000001002/00000001000000000050000000448842/main.m3u8
IPTV高清院线,http://39.134.242.92:80/180000001002/00000001000000000009000000046030/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000009000000046030/main.m3u8
IPTV古装剧场,http://39.134.242.92:80/180000001002/00000001000000000009000000046031/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000009000000046031/main.m3u8
IPTV故事频道,http://39.134.242.92:80/180000001002/00000001000000000071000000305570/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000071000000305570/main.m3u8
IPTV家庭剧场,http://39.134.242.92:80/180000001002/00000001000000000009000000046032/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000009000000046032/main.m3u8
IPTV健康之道,http://39.134.242.92:80/180000001002/00000001000000000071000000305574/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000071000000305574/main.m3u8
IPTV经典剧场,http://39.134.242.92:80/180000001002/00000001000000000009000000046033/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000009000000046033/main.m3u8
IPTV抗战剧场,http://39.134.242.92:80/180000001002/00000001000000000012000000031194/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000012000000031194/main.m3u8
IPTV戏剧频道,http://39.134.242.92:80/180000001002/00000001000000000071000000305564/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000071000000305564/main.m3u8
梨园频道,http://39.134.242.92:80/180000001002/00000001000000000064000000308847/main.m3u8
武术世界,http://39.134.242.92:80/180000001002/00000001000000000064000000308859/main.m3u8
文物宝库,http://39.134.242.92:80/180000001002/00000001000000000064000000308848/main.m3u8
环球旅游,http://39.134.242.92:80/180000001002/00000001000000000064000000308870/main.m3u8
车迷频道,http://39.134.242.92:80/180000001002/00000001000000000064000000308873/main.m3u8

央视频道,#genre#
CCTV1,http://39.134.242.92:80/180000001002/00000001000000000007000000001243/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000007000000001243/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV2,http://39.134.242.92:80/180000001002/00000001000000000008000000047431/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000008000000047431/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV3,http://39.134.242.92:80/180000001002/00000001000000000008000000047432/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000008000000047432/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV4,http://39.134.242.92:80/180000001002/00000001000000000008000000047433/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000008000000047433/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV5,http://39.134.242.92:80/180000001002/00000001000000000008000000047434/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000008000000047434/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5+,http://39.134.242.92:80/180000001002/00000001000000000008000000047442/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000008000000047442/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV6,http://39.134.242.92:80/180000001002/00000001000000000008000000047435/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000008000000047435/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV7,http://39.134.242.92:80/180000001002/00000001000000000008000000047436/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000008000000047436/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV8,http://39.134.242.92:80/180000001002/00000001000000000008000000047437/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000008000000047437/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV9,http://39.134.242.92:80/180000001002/00000001000000000008000000047438/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000008000000047438/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV10,http://39.134.242.92:80/180000001002/00000001000000000008000000047439/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000008000000047439/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV11,http://39.134.242.92:80/180000001002/00000001000000000026000000446966/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000026000000446966/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV12,http://39.134.242.92:80/180000001002/00000001000000000008000000047440/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000008000000047440/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV13,http://39.134.242.92:80/180000001002/00000001000000000050000000133801/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000050000000133801/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV14,http://39.134.242.92:80/180000001002/00000001000000000008000000047441/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000008000000047441/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV15,http://39.134.242.92:80/180000001002/00000001000000000026000000446967/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000026000000446967/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV16,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226921/index.m3u8#http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV17,http://39.134.242.92:80/180000001002/00000001000000000025000000024152/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000025000000024152/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV-兵器科技,http://39.134.242.92:80/180000001002/00000001000000000091000000244796/main.m3u8
CCTV-电视指南,http://39.134.242.92:80/180000001002/00000001000000000091000000244797/main.m3u8
CCTV-风云足球,http://39.134.242.92:80/180000001002/00000001000000000091000000244800/main.m3u8
CCTV-央视台球,http://39.134.242.92:80/180000001002/00000001000000000091000000244803/main.m3u8
CCTV-世界地理,http://39.134.242.92:80/180000001002/00000001000000000091000000244805/main.m3u8
CCTV-怀旧剧场,http://39.134.242.92:80/180000001002/00000001000000000091000000244806/main.m3u8
CCTV-风云剧场,http://39.134.242.92:80/180000001002/00000001000000000091000000244807/main.m3u8
CCTV-第一剧场,http://39.134.242.92:80/180000001002/00000001000000000091000000244808/main.m3u8
CCTV-风云音乐,http://39.134.242.92:80/180000001002/00000001000000000091000000244809/main.m3u8
CCTV-女性时尚,http://39.134.242.92:80/180000001002/00000001000000000091000000244811/main.m3u8
CCTV-高尔夫网球,http://39.134.242.92:80/180000001002/00000001000000000091000000244801/main.m3u8
CCTV-央视文化精品,http://39.134.242.92:80/180000001002/00000001000000000091000000244810/main.m3u8


卫视频道,#genre#
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
东南卫视,http://39.134.242.92:80/180000001002/00000001000000000010000000040459/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000010000000040459/main.m3u8
东方卫视,http://39.134.242.92:80/180000001002/00000001000000000008000000047445/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000008000000047445/main.m3u8
北京卫视,http://39.134.242.92:80/180000001002/00000001000000000008000000047443/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000008000000047443/main.m3u8
天津卫视,http://39.134.242.92:80/180000001002/00000001000000000008000000047444/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000008000000047444/main.m3u8
安徽卫视,http://39.134.242.92:80/180000001002/00000001000000000016000000007224/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000016000000007224/main.m3u8
山东卫视,http://39.134.242.92:80/180000001002/00000001000000000008000000047448/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000008000000047448/main.m3u8
广东卫视,http://39.134.242.92:80/180000001002/00000001000000000010000000040391/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000010000000040391/main.m3u8
江苏卫视,http://39.134.242.92:80/180000001002/00000001000000000007000000001244/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000007000000001244/main.m3u8
江西卫视,http://39.134.242.92:80/180000001002/00000001000000000064000000308822/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000064000000308822/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182287/main.m3u8
河北卫视,http://39.134.242.92:80/180000001002/00000001000000000016000000007223/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000016000000007223/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182263/main.m3u8
浙江卫视,http://39.134.242.92:80/180000001002/00000000000000020000000000182563/main.m3u8#http://183.215.102.57:8089/180000001002/00000000000000020000000000182563/main.m3u8
深圳卫视,http://39.134.242.92:80/180000001002/00000001000000000008000000047446/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000008000000047446/main.m3u8
湖北卫视,http://39.134.242.92:80/180000001002/00000001000000000008000000047447/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000008000000047447/main.m3u8
贵州卫视,http://39.134.242.92:80/180000001002/00000001000000000010000000040424/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000010000000040424/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182262/main.m3u8
重庆卫视,http://39.134.242.92:80/180000001002/00000001000000000064000000308825/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000064000000308825/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182258/main.m3u8
四川卫视,http://39.134.242.92:80/180000001002/00000001000000000064000000308823/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000064000000308823/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182257/main.m3u8
辽宁卫视,http://39.134.242.92:80/180000001002/00000001000000000016000000007225/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000016000000007225/main.m3u8
黑龙江卫视,http://39.134.242.92:80/180000001002/00000001000000000008000000047449/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000008000000047449/main.m3u8
山西卫视,http://39.134.242.92:80/180000001002/00000000000000020000000000182271/main.m3u8#http://183.215.102.57:8089/180000001002/00000000000000020000000000182271/main.m3u8
吉林卫视,http://39.134.242.92:80/180000001002/00000001000000000057000000208223/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182264/main.m3u8#http://183.215.102.57:8089/180000001002/00000000000000020000000000182264/main.m3u8
河南卫视,http://39.134.242.92:80/180000001002/00000001000000000057000000208264/main.m3u8#http://183.215.102.57:8089/180000001002/00000000000000020000000000182260/main.m3u8
广西卫视,http://39.134.242.92:80/180000001002/00000001000000000090000000215605/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000090000000215605/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182256/main.m3u8
海南卫视,http://39.134.242.92:80/180000001002/00000001000000000057000000208265/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000181765/main.m3u8#http://183.215.102.57:8089/180000001002/00000000000000020000000000181765/main.m3u8
云南卫视,http://39.134.242.92:80/180000001002/00000001000000000090000000215606/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182259/main.m3u8#http://183.215.102.57:8089/180000001002/00000000000000020000000000182259/main.m3u8
西藏卫视,http://39.134.242.92:80/180000001002/00000000000000020000000000182274/main.m3u8#http://183.215.102.57:8089/180000001002/00000000000000020000000000182274/main.m3u8
陕西卫视,http://39.134.242.92:80/180000001002/00000001000000000090000000215607/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000090000000215607/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182270/main.m3u8
甘肃卫视,http://39.134.242.92:80/180000001002/00000001000000000050000000133802/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000050000000133802/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182276/main.m3u8
青海卫视,http://39.134.242.92:80/180000001002/00000001000000000090000000215609/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182317/main.m3u8#http://183.215.102.57:8089/180000001002/00000000000000020000000000182317/main.m3u8
宁夏卫视,http://39.134.242.92:80/180000001002/00000000000000020000000000182273/main.m3u8#http://183.215.102.57:8089/180000001002/00000000000000020000000000182273/main.m3u8
新疆卫视,http://39.134.242.92:80/180000001002/00000000000000020000000000182275/main.m3u8#http://183.215.102.57:8089/180000001002/00000000000000020000000000182275/main.m3u8
内蒙古卫视,http://39.134.242.92:80/180000001002/00000000000000020000000000182272/main.m3u8#http://183.215.102.57:8089/180000001002/00000000000000020000000000182272/main.m3u8
南方卫视,http://39.134.242.92:80/180000001002/00000000000000020000000000182538/main.m3u8#http://183.215.102.57:8089/180000001002/00000000000000020000000000182538/main.m3u8
厦门卫视,http://39.134.242.92:80/180000001002/00000001000000000022000000381023/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000022000000381023/main.m3u8
兵团卫视,http://39.134.242.92:80/180000001002/00000001000000000022000000381024/main.m3u8#http://183.215.102.57:8089/180000001002/00000001000000000022000000381024/main.m3u8

卡通其他,#genre#
金鹰卡通,http://39.134.242.92:80/180000001002/00000001000000000007000000001247/main.m3u8#http://39.134.13.35:6610/180000001001/00000001000000000007000000001247/index.m3u8?#http://183.215.102.57:8089/180000001001/00000001000000000007000000001247/main.m3u8
卡酷动画,http://39.134.242.92:80/180000001002/00000001000000000090000000215608/main.m3u8#http://183.215.102.57:8089/180000001001/00000000000000020000000000182277/main.m3u8#http://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s10/index.m3u8?time=
黑莓动画,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=6497762188035533951&livemode=1&stbId=2
嘉佳卡通,http://183.215.102.57:8089/180000001001/00000001000000000022000000381025/main.m3u8
优漫卡通,http://183.215.102.57:8089/180000001001/00000000000000020000000000182321/main.m3u8
哈哈炫动,http://140.207.241.3:8080/live/program/live/hhxdhd/4000000/mnf.m3u8#http://183.215.102.57:8089/180000001001/00000000000000020000000000182497/main.m3u8



虎牙斗鱼,#genre#
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
虎牙电影1,http://111.62.156.15/tx.flv.huya.com/src/1394575534-1394575534-5989656310331736064-2789274524-10057-A-0-1.m3u8
虎牙电影2,http://111.62.156.15/tx.flv.huya.com/src/1250011-1250011-5368756364640256-2777036638-10057-A-0-1.m3u8
虎牙电影3,http://111.62.156.15/tx.flv.huya.com/src/1524418085-1524418085-6547325820505948160-3048959626-10057-A-0-1.m3u8
虎牙电影4,http://111.62.156.15/tx.flv.huya.com/src/1423782050-1423782050-6115097341381836800-2847687556-10057-A-0-1.m3u8
虎牙电影5,http://111.62.156.15/tx.flv.huya.com/src/1388457235-1388457235-5963378416219586560-2777037926-10057-A-0-1.m3u8
虎牙电影6,http://111.62.156.15/tx.flv.huya.com/src/1524418070-1524418070-6547325756081438720-3048959596-10057-A-0-1.m3u8
虎牙电影7,http://111.62.156.13/tx.flv.huya.com/src/1449698962-1449698962-6226409630835146752-2789274564-10057-A-0-1.m3u8
虎牙电影8,http://111.62.156.15/tx.flv.huya.com/src/1394575541-1394575541-5989656340396507136-2789274538-10057-A-0-1.m3u8
虎牙电影9,http://111.62.156.15/tx.flv.huya.com/src/1524434070-1524434070-6547394475558174720-3048991596-10057-A-0-1.m3u8
虎牙电影10,http://111.62.156.15/tx.flv.huya.com/src/1423787870-1423787870-6115122338091499520-2847699196-10057-A-0-1.m3u8
虎牙电影11,http://111.62.156.15/tx.flv.huya.com/src/1388451591-1388451591-5963354175424167936-2777026638-10057-A-0-1.m3u8
虎牙电影12,http://111.62.156.15/tx.flv.huya.com/src/1394575546-1394575546-5989656361871343616-2789274548-10057-A-0-1.m3u8
虎牙电影13,http://111.62.156.15/tx.flv.huya.com/src/1524434089-1524434089-6547394557162553344-3048991634-10057-A-0-1.m3u8
虎牙电影14,http://111.62.156.15/tx.flv.huya.com/src/1524434083-1524434083-6547394531392749568-3048991622-10057-A-0-1.m3u8
虎牙电影15,http://111.62.156.15/tx.flv.huya.com/src/1448737849-1448737849-6222281681932386304-2847687520-10057-A-0-1.m3u8
虎牙电影16,http://111.62.156.15/tx.flv.huya.com/src/1449574253-1449574253-6225874009758629888-2847699210-10057-A-0-1.m3u8
虎牙电影17,http://111.62.156.15/tx.flv.huya.com/src/1449581589-1449581589-6225905517638713344-3048959636-10057-A-0-1.m3u8
虎牙电影18,http://111.62.156.15/tx.flv.huya.com/src/1449588725-1449588725-6225936166525337600-3048959678-10057-A-0-1.m3u8
虎牙电影19,http://111.62.156.15/tx.flv.huya.com/src/1423787882-1423787882-6115122389631107072-2847699220-10057-A-0-1.m3u8
斗鱼电影1,http://epg.112114.xyz/douyu/2436390
斗鱼电影2,http://epg.112114.xyz/douyu/315457
斗鱼电影3,http://epg.112114.xyz/douyu/122402
斗鱼电影4,http://epg.112114.xyz/douyu/85894
斗鱼电影5,http://epg.112114.xyz/douyu/3637765
斗鱼电影6,http://epg.112114.xyz/douyu/3637778
斗鱼电影7,http://epg.112114.xyz/douyu/8985415
斗鱼电影8,http://epg.112114.xyz/douyu/9650887
斗鱼电影9,http://epg.112114.xyz/douyu/8770422
斗鱼电影10,http://epg.112114.xyz/douyu/8814650
斗鱼电影11,http://epg.112114.xyz/douyu/20415
斗鱼电影12,http://epg.112114.xyz/douyu/263824
斗鱼电影13,http://epg.112114.xyz/douyu/9651304
斗鱼电影14,http://epg.112114.xyz/douyu/6763930
斗鱼电影15,http://epg.112114.xyz/douyu/9249162
斗鱼电影16,http://diyp.112114.xyz/douyu/96577
斗鱼电影17,http://diyp.112114.xyz/douyu/8770422
斗鱼电影18,http://diyp.112114.xyz/douyu/2436390
斗鱼电影19,http://diyp.112114.xyz/douyu/36337
斗鱼电影20,http://diyp.112114.xyz/douyu/413573
斗鱼电影21,http://tc-tct.douyucdn2.cn/dyliveflv1a/3637778raLSXdOdu.flv?wsAuth=cd4f49458f1f0cbe714b3b73692439da&token=cpn-androidmpro-0-3637778-8c089871434b9344c87ba450b11b9df931a5dfe2705d9da7&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play
斗鱼电影22,http://tc-tct.douyucdn2.cn/dyliveflv3/3637726rQLDdfto7.flv?wsAuth=313db8feb39bab1a1d5a1b87036b6312&token=cpn-androidmpro-0-3637726-a97a3241d7613834e7b788883ab1a1408b701f3fda26c6da&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play3
斗鱼电影23,http://tc-tct.douyucdn2.cn/dyliveflv3a/3637765rrt97QwBF.flv?wsAuth=5acd574d20805c9b6b1f96889102a9ba&token=cpn-androidmpro-0-3637765-895385f7e18dfb381255b0a17d2d1258ba145b839cad7ff4&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play
